Level,Kanji,Hiragana,Furigana Format,English Meaning,Romaji,Example
N5,,こんにちは,こんにちは,hello / good afternoon,konnichiwa,"こんにちは、田中さん。 (Hello, Mr. Tanaka.)"
N5,,こんばんは,こんばんは,good evening,konbanwa,"こんばんは、お元気ですか。 (Good evening, how are you?)"
N5,,おはようございます,おはようございます,good morning,ohayou gozaimasu,"おはようございます、先生。 (Good morning, teacher.)"
N5,,さようなら,さようなら,goodbye,sayounara,"さようなら、また明日。 (Goodbye, see you tomorrow.)"
N5,,おやすみなさい,おやすみなさい,good night,oyasuminasai,"おやすみなさい、良い夢を。 (Good night, sweet dreams.)"
N5,,ありがとう,ありがとう,thank you,arigatou,"ありがとう、助かりました。 (Thank you, that helped.)"
N5,,どういたしまして,どういたしまして,you're welcome,dou itashimashite,どういたしまして。 (You're welcome.)
N5,,すみません,すみません,excuse me / sorry,sumimasen,"すみません、駅はどこですか。 (Excuse me, where is the station?)"
N5,,ごめんなさい,ごめんなさい,I'm sorry,gomennasai,"ごめんなさい、遅れました。 (I'm sorry, I'm late.)"
N5,,はじめまして,はじめまして,nice to meet you,hajimemashite,"はじめまして、よろしくお願いします。 (Nice to meet you, please treat me well.)"
N5,,いただきます,いただきます,phrase said before eating,itadakimasu,いただきます。 (Let's eat (said before a meal).)
N5,,ごちそうさま,ごちそうさま,phrase said after eating,gochisousama,ごちそうさまでした。 (That was a delicious meal.)
N5,,いってきます,いってきます,I'm off / I'll go and come back,ittekimasu,いってきます。 (I'm heading out.)
N5,,いってらっしゃい,いってらっしゃい,take care / see you off,itterasshai,いってらっしゃい。 (Take care (to someone leaving).)
N5,,ただいま,ただいま,I'm home,tadaima,ただいま。 (I'm home.)
N5,,おかえりなさい,おかえりなさい,welcome home,okaerinasai,おかえりなさい。 (Welcome home.)
N5,,はい,はい,yes,hai,"はい、そうです。 (Yes, that's right.)"
N5,,いいえ,いいえ,no,iie,"いいえ、違います。 (No, that's wrong.)"
N5,,どうぞ,どうぞ,please / go ahead,douzo,"どうぞ、お先に。 (Please, go ahead.)"
N5,,どうも,どうも,thanks / very,doumo,どうもありがとう。 (Thank you very much.)
N5,私,わたし,私[わたし],I / me,watashi,私は学生です。 (I am a student.)
N5,私たち,わたしたち,私[わたし]たち,we,watashitachi,私たちは友達です。 (We are friends.)
N5,あなた,あなた,あなた,you,anata,あなたの名前は何ですか。 (What is your name?)
N5,彼,かれ,彼[かれ],he / boyfriend,kare,彼は先生です。 (He is a teacher.)
N5,彼女,かのじょ,彼女[かのじょ],she / girlfriend,kanojo,彼女は医者です。 (She is a doctor.)
N5,皆さん,みなさん,皆[みな]さん,everyone,minasan,"皆さん、こんにちは。 (Hello, everyone.)"
N5,人,ひと,人[ひと],person,hito,あの人は誰ですか。 (Who is that person?)
N5,男の人,おとこのひと,男[おとこ]の人[ひと],man,otoko no hito,男の人が立っています。 (A man is standing.)
N5,女の人,おんなのひと,女[おんな]の人[ひと],woman,onna no hito,女の人が歩いています。 (A woman is walking.)
N5,子供,こども,子供[こども],child,kodomo,子供が遊んでいます。 (The child is playing.)
N5,友達,ともだち,友達[ともだち],friend,tomodachi,友達と映画を見ます。 (I'll watch a movie with a friend.)
N5,名前,なまえ,名前[なまえ],name,namae,名前を書いてください。 (Please write your name.)
N5,家族,かぞく,家族[かぞく],family,kazoku,私の家族は四人です。 (My family has four people.)
N5,お父さん,おとうさん,お父[とう]さん,father (someone else's),otousan,お父さんは会社員です。 (His/her father is an office worker.)
N5,父,ちち,父[ちち],my father,chichi,父は医者です。 (My father is a doctor.)
N5,お母さん,おかあさん,お母[かあ]さん,mother (someone else's),okaasan,お母さんは優しいです。 (His/her mother is kind.)
N5,母,はは,母[はは],my mother,haha,母は先生です。 (My mother is a teacher.)
N5,お兄さん,おにいさん,お兄[にい]さん,older brother (someone else's),oniisan,お兄さんは大学生です。 (His/her older brother is a university student.)
N5,兄,あに,兄[あに],my older brother,ani,兄は背が高いです。 (My older brother is tall.)
N5,お姉さん,おねえさん,お姉[ねえ]さん,older sister (someone else's),oneesan,お姉さんは看護師です。 (His/her older sister is a nurse.)
N5,姉,あね,姉[あね],my older sister,ane,姉は料理が上手です。 (My older sister is good at cooking.)
N5,弟,おとうと,弟[おとうと],younger brother,otouto,弟は高校生です。 (My younger brother is a high schooler.)
N5,妹,いもうと,妹[いもうと],younger sister,imouto,妹はまだ小さいです。 (My younger sister is still small.)
N5,おじいさん,おじいさん,おじいさん,grandfather,ojiisan,おじいさんは元気です。 (Grandfather is doing well.)
N5,おばあさん,おばあさん,おばあさん,grandmother,obaasan,おばあさんは優しいです。 (Grandmother is kind.)
N5,両親,りょうしん,両親[りょうしん],parents,ryoushin,両親は東京に住んでいます。 (My parents live in Tokyo.)
N5,兄弟,きょうだい,兄弟[きょうだい],siblings,kyoudai,兄弟は三人います。 (I have three siblings.)
N5,赤ちゃん,あかちゃん,赤[あか]ちゃん,baby,akachan,赤ちゃんが泣いています。 (The baby is crying.)
N5,一,いち,一[いち],one,ichi,一から十まで数えます。 (I'll count from one to ten.)
N5,二,に,二[に],two,ni,二時に会いましょう。 (Let's meet at two o'clock.)
N5,三,さん,三[さん],three,san,三日待ってください。 (Please wait three days.)
N5,四,よん / し,四[よん],four,yon / shi,四月に日本へ行きます。 (I'll go to Japan in April.)
N5,五,ご,五[ご],five,go,五時に起きます。 (I get up at five o'clock.)
N5,六,ろく,六[ろく],six,roku,六月は雨が多いです。 (It rains a lot in June.)
N5,七,なな / しち,七[なな],seven,nana / shichi,七時に晩ご飯を食べます。 (I eat dinner at seven.)
N5,八,はち,八[はち],eight,hachi,八月は暑いです。 (August is hot.)
N5,九,きゅう / く,九[きゅう],nine,kyuu / ku,九時に寝ます。 (I go to bed at nine.)
N5,十,じゅう,十[じゅう],ten,juu,十分待ちました。 (I waited ten minutes.)
N5,百,ひゃく,百[ひゃく],hundred,hyaku,百円のジュースを買いました。 (I bought a 100-yen juice.)
N5,千,せん,千[せん],thousand,sen,千円札を持っています。 (I have a 1000-yen bill.)
N5,万,まん,万[まん],ten thousand,man,一万円かかりました。 (It cost ten thousand yen.)
N5,何,なん / なに,何[なに],what,nani / nan,これは何ですか。 (What is this?)
N5,一つ,ひとつ,一[ひと]つ,one (thing),hitotsu,"りんごを一つください。 (One apple, please.)"
N5,二つ,ふたつ,二[ふた]つ,two (things),futatsu,みかんを二つ食べました。 (I ate two mandarins.)
N5,三つ,みっつ,三[みっ]つ,three (things),mittsu,ケーキを三つ買いました。 (I bought three cakes.)
N5,四つ,よっつ,四[よっ]つ,four (things),yottsu,卵が四つあります。 (There are four eggs.)
N5,五つ,いつつ,五[いつ]つ,five (things),itsutsu,おにぎりを五つ作りました。 (I made five rice balls.)
N5,一人,ひとり,一人[ひとり],one person,hitori,一人で映画を見ます。 (I watch movies alone.)
N5,二人,ふたり,二人[ふたり],two people,futari,"二人で旅行しました。 (We traveled together, the two of us.)"
N5,時間,じかん,時間[じかん],time / hour,jikan,時間がありません。 (There is no time.)
N5,今,いま,今[いま],now,ima,今、何時ですか。 (What time is it now?)
N5,今日,きょう,今日[きょう],today,kyou,今日は晴れです。 (Today is sunny.)
N5,明日,あした,明日[あした],tomorrow,ashita,明日、テストがあります。 (There is a test tomorrow.)
N5,昨日,きのう,昨日[きのう],yesterday,kinou,昨日は忙しかったです。 (I was busy yesterday.)
N5,明後日,あさって,明後日[あさって],day after tomorrow,asatte,明後日、京都へ行きます。 (I'll go to Kyoto the day after tomorrow.)
N5,一昨日,おととい,一昨日[おととい],day before yesterday,ototoi,一昨日、雨が降りました。 (It rained the day before yesterday.)
N5,毎日,まいにち,毎日[まいにち],every day,mainichi,毎日、日本語を勉強します。 (I study Japanese every day.)
N5,今週,こんしゅう,今週[こんしゅう],this week,konshuu,今週は忙しいです。 (This week is busy.)
N5,来週,らいしゅう,来週[らいしゅう],next week,raishuu,来週、旅行に行きます。 (I'll go on a trip next week.)
N5,先週,せんしゅう,先週[せんしゅう],last week,senshuu,先週、映画を見ました。 (I watched a movie last week.)
N5,今月,こんげつ,今月[こんげつ],this month,kongetsu,今月は忙しいです。 (This month is busy.)
N5,来月,らいげつ,来月[らいげつ],next month,raigetsu,来月、誕生日です。 (It's my birthday next month.)
N5,先月,せんげつ,先月[せんげつ],last month,sengetsu,先月、東京へ行きました。 (I went to Tokyo last month.)
N5,今年,ことし,今年[ことし],this year,kotoshi,今年、日本へ行きます。 (I'll go to Japan this year.)
N5,来年,らいねん,来年[らいねん],next year,rainen,来年、大学生になります。 (I'll become a university student next year.)
N5,去年,きょねん,去年[きょねん],last year,kyonen,去年、結婚しました。 (I got married last year.)
N5,朝,あさ,朝[あさ],morning,asa,朝、ジョギングをします。 (I jog in the morning.)
N5,昼,ひる,昼[ひる],noon / daytime,hiru,昼にご飯を食べます。 (I eat lunch at noon.)
N5,夜,よる,夜[よる],night,yoru,夜、本を読みます。 (I read a book at night.)
N5,午前,ごぜん,午前[ごぜん],a.m.,gozen,午前九時に始まります。 (It starts at 9 a.m.)
N5,午後,ごご,午後[ごご],p.m.,gogo,午後三時に会いましょう。 (Let's meet at 3 p.m.)
N5,時,じ,時[じ],o'clock,ji,七時に起きます。 (I wake up at seven.)
N5,分,ふん / ぷん,分[ふん],minute,fun / pun,五分待ってください。 (Please wait five minutes.)
N5,週間,しゅうかん,週間[しゅうかん],week (duration),shuukan,一週間、休みます。 (I'll rest for one week.)
N5,月,つき,月[つき],moon / month,tsuki,月がきれいです。 (The moon is beautiful.)
N5,年,とし,年[とし],year,toshi,今年は忙しいです。 (This year is busy.)
N5,誕生日,たんじょうび,誕生日[たんじょうび],birthday,tanjoubi,誕生日おめでとう。 (Happy birthday.)
N5,休み,やすみ,休[やす]み,holiday / break,yasumi,今日は休みです。 (Today is a day off.)
N5,週末,しゅうまつ,週末[しゅうまつ],weekend,shuumatsu,週末は家にいます。 (I stay home on weekends.)
N5,月曜日,げつようび,月曜日[げつようび],Monday,getsuyoubi,月曜日から学校です。 (School starts from Monday.)
N5,火曜日,かようび,火曜日[かようび],Tuesday,kayoubi,火曜日にテストがあります。 (There is a test on Tuesday.)
N5,水曜日,すいようび,水曜日[すいようび],Wednesday,suiyoubi,水曜日は休みです。 (Wednesday is a holiday.)
N5,木曜日,もくようび,木曜日[もくようび],Thursday,mokuyoubi,木曜日に会いましょう。 (Let's meet on Thursday.)
N5,金曜日,きんようび,金曜日[きんようび],Friday,kinyoubi,金曜日の夜は忙しいです。 (Friday night is busy.)
N5,土曜日,どようび,土曜日[どようび],Saturday,doyoubi,土曜日は買い物に行きます。 (I go shopping on Saturday.)
N5,日曜日,にちようび,日曜日[にちようび],Sunday,nichiyoubi,日曜日はゆっくりします。 (I relax on Sunday.)
N5,学校,がっこう,学校[がっこう],school,gakkou,毎日学校へ行きます。 (I go to school every day.)
N5,大学,だいがく,大学[だいがく],university,daigaku,大学で経済を勉強します。 (I study economics at university.)
N5,病院,びょういん,病院[びょういん],hospital,byouin,病院で薬をもらいました。 (I got medicine at the hospital.)
N5,銀行,ぎんこう,銀行[ぎんこう],bank,ginkou,銀行でお金をおろします。 (I withdraw money at the bank.)
N5,郵便局,ゆうびんきょく,郵便局[ゆうびんきょく],post office,yuubinkyoku,郵便局で切手を買います。 (I buy stamps at the post office.)
N5,図書館,としょかん,図書館[としょかん],library,toshokan,図書館で本を借ります。 (I borrow books at the library.)
N5,駅,えき,駅[えき],station,eki,駅まで歩きます。 (I walk to the station.)
N5,空港,くうこう,空港[くうこう],airport,kuukou,空港でチェックインします。 (I check in at the airport.)
N5,会社,かいしゃ,会社[かいしゃ],company,kaisha,会社で働いています。 (I work at a company.)
N5,店,みせ,店[みせ],shop,mise,店で服を買いました。 (I bought clothes at the shop.)
N5,デパート,デパート,デパート,department store,depaato,デパートで買い物をします。 (I shop at the department store.)
N5,スーパー,スーパー,スーパー,supermarket,suupaa,スーパーで野菜を買います。 (I buy vegetables at the supermarket.)
N5,レストラン,レストラン,レストラン,restaurant,resutoran,レストランで食事します。 (I eat a meal at the restaurant.)
N5,喫茶店,きっさてん,喫茶店[きっさてん],coffee shop,kissaten,喫茶店でコーヒーを飲みます。 (I drink coffee at the coffee shop.)
N5,公園,こうえん,公園[こうえん],park,kouen,公園で散歩します。 (I take a walk in the park.)
N5,映画館,えいがかん,映画館[えいがかん],movie theater,eigakan,映画館で映画を見ます。 (I watch a movie at the theater.)
N5,家,いえ,家[いえ],house / home,ie,家で勉強します。 (I study at home.)
N5,部屋,へや,部屋[へや],room,heya,部屋を掃除します。 (I clean the room.)
N5,トイレ,トイレ,トイレ,toilet,toire,トイレはどこですか。 (Where is the toilet?)
N5,お手洗い,おてあらい,お手洗[てあら]い,restroom,otearai,お手洗いを借りてもいいですか。 (May I use the restroom?)
N5,国,くに,国[くに],country,kuni,どの国から来ましたか。 (Which country are you from?)
N5,外国,がいこく,外国[がいこく],foreign country,gaikoku,外国へ行ったことがあります。 (I have been to a foreign country.)
N5,町,まち,町[まち],town,machi,この町は静かです。 (This town is quiet.)
N5,道,みち,道[みち],road / street,michi,道が分かりません。 (I don't know the way.)
N5,入り口,いりぐち,入[い]り口[ぐち],entrance,iriguchi,入り口はあちらです。 (The entrance is over there.)
N5,出口,でぐち,出口[でぐち],exit,deguchi,出口を探しています。 (I'm looking for the exit.)
N5,教室,きょうしつ,教室[きょうしつ],classroom,kyoushitsu,教室で勉強します。 (I study in the classroom.)
N5,台所,だいどころ,台所[だいどころ],kitchen,daidokoro,台所で料理をします。 (I cook in the kitchen.)
N5,学生,がくせい,学生[がくせい],student,gakusei,彼は大学の学生です。 (He is a university student.)
N5,先生,せんせい,先生[せんせい],teacher,sensei,先生に質問します。 (I ask the teacher a question.)
N5,勉強,べんきょう,勉強[べんきょう],study,benkyou,毎晩、勉強します。 (I study every night.)
N5,本,ほん,本[ほん],book,hon,本を読みます。 (I read a book.)
N5,辞書,じしょ,辞書[じしょ],dictionary,jisho,辞書で言葉を調べます。 (I look up words in a dictionary.)
N5,ノート,ノート,ノート,notebook,nooto,ノートに書きます。 (I write in a notebook.)
N5,鉛筆,えんぴつ,鉛筆[えんぴつ],pencil,enpitsu,鉛筆で書きます。 (I write with a pencil.)
