"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"A とか B とか","Used to express multiple examples or possibilities; 'such as', 'like', 'for example'.","Noun + とか + Noun + とか","週末は映画とか買い物とか楽しいことをしたいです。","Shuumatsu wa eiga toka kaimono toka tanoshii koto wo shitai desu.","I want to do fun things like watching movies and shopping on the weekend.","JLPT N4"
"A は B ほど～ありません (A wa B hodo ～ arimasen)","Express that A is not as much as B; 'not as... as', 'not... to the extent of'.","A は B ほど Verb/adjective ありません","今日は昨日ほど寒くありません。","Kyou wa kinou hodo samuku arimasen.","Today is not as cold as yesterday.","JLPT N4"
"A は B ほど～ない (A wa B hodo ~ nai)","Expressing that A is not as ~ as B; 'not as...as'","A は B ほど + い-Adjective stem (without い) + くない, な-Adjective + じゃない, Verb-negative potential form","山田さんは鈴木さんほど背が高くない。","Yamada-san wa Suzuki-san hodo se ga takakunai.","Yamada is not as tall as Suzuki.","JLPT N4"
"A より B のほうが〜 (A yori B no hou ga 〜)","Comparing two things; 'B is more ~ than A'.","A + より + B + のほうが + Adjective/Verb","田中さんより鈴木さんのほうが背が高いです。","Tanaka-san yori Suzuki-san no hou ga se ga takai desu.","Suzuki is taller than Tanaka.","JLPT N4"
"い-Adjective く する/なる (i-Adjective kusuru/naru)","Express a change happening or making something change.","い-Adjective (remove い) + く + する/なる","部屋を明るくします。","Heya wo akaruku shimasu.","I will make the room brighter.","JLPT N4"
"な-adjective に する/なる","Used to indicate change or decision; 'to become' or 'to make' with na-adjectives.","な-Adjective + に + する/なる","部屋をきれいにする。","Heya wo kirei ni suru.","To make the room clean.","JLPT N4"
"Noun しか～ない (Noun shika~nai)","Expresses 'only', 'nothing but', or 'no other'.","Noun + しか + Negative Verb","私はリンゴしか食べない。","Watashi wa ringo shika tabenai.","I eat only apples.","JLPT N4"
"Noun に する (Noun ni suru)","Used to indicate a choice or decision, 'to decide on' or 'to choose'.","Noun + に + する","メニューからピザにしました。","Menyū kara piza ni shimashita.","I decided on pizza from the menu.","JLPT N4"
"Noun に なる (Noun ni naru)","To become; to change into; to turn into.","Noun + に + なる","彼は医者になりました。","Kare wa isha ni narimashita.","He became a doctor.","JLPT N4"
"のために (no tame ni)","Used to express purpose or reason; 'for', 'for the sake of', 'in order to'.","Noun + のために","勉強のために、図書館で静かな場所を探しています。","Benkyou no tame ni, toshokan de shizukana basho o sagashiteimasu.","In order to study, I am looking for a quiet place in the library.","JLPT N4"
