character,level,strokes,grade,freq,onyomi,kunyomi,meanings
政,N3,9,5,17,セイ; ショウ,まつりごと; まん,politics; government
議,N3,20,4,25,ギ,,deliberation; consultation; debate; consideration
民,N3,5,4,28,ミン,たみ,people; nation; subjects
連,N3,10,4,30,レン,つら.なる; つら.ねる; つ.れる; -づ.れ,take along; lead; join; connect; party; gang; clique
対,N3,7,3,34,タイ; ツイ,あいて; こた.える; そろ.い; つれあ.い; なら.ぶ; むか.う,vis-a-vis; opposite; even; equal; versus; anti-; compare
部,N3,11,3,36,ブ,-べ,section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine
合,N3,6,2,41,ゴウ; ガッ; カッ,あ.う; -あ.う; あ.い; あい-; -あ.い; -あい; あ.わす; あ.わせる; -あ.わせる,fit; suit; join; 0.1
市,N3,5,2,42,シ,いち,market; city; town
内,N3,4,2,44,ナイ; ダイ,うち,inside; within; between; among; house; home
相,N3,9,3,45,ソウ; ショウ,あい-,inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy
定,N3,8,3,48,テイ; ジョウ,さだ.める; さだ.まる; さだ.か,determine; fix; establish; decide
回,N3,6,2,50,カイ; エ,まわ.る; -まわ.る; -まわ.り; まわ.す; -まわ.す; まわ.し-; -まわ.し; もとお.る; か.える,-times; round; game; revolve; counter for occurrences
選,N3,15,4,57,セン,えら.ぶ; え.る; よ.る,elect; select; choose; prefer
米,N3,6,2,61,ベイ; マイ; メエトル,こめ; よね,rice; USA; metre
実,N3,8,3,68,ジツ; シツ,み; みの.る; まこと; みの; みち.る,reality; truth; seed; fruit; nut
関,N3,14,4,70,カン,せき; -ぜき; かか.わる; からくり; かんぬき,connection; barrier; gateway; involve; concerning
決,N3,7,3,71,ケツ,き.める; -ぎ.め; き.まる; さ.く,decide; fix; agree upon; appoint
全,N3,6,3,75,ゼン,まった.く; すべ.て,whole; entire; all; complete; fulfill
表,N3,8,3,77,ヒョウ,おもて; -おもて; あらわ.す; あらわ.れる; あら.わす,surface; table; chart; diagram
戦,N3,13,4,78,セン,いくさ; たたか.う; おのの.く; そよ.ぐ; わなな.く,war; battle; match
経,N3,11,5,79,ケイ; キョウ; キン,へ.る; た.つ; たていと; はか.る; のり,sutra; longitude; pass thru; expire; warp
最,N3,12,4,82,サイ; シュ,もっと.も; つま,utmost; most; extreme
現,N3,11,5,85,ゲン,あらわ.れる; あらわ.す; うつつ; うつ.つ,present; existing; actual
調,N3,15,3,87,チョウ,しら.べる; しら.べ; ととの.う; ととの.える,tune; tone; meter; key (music); writing style; prepare; exorcise; investigate; harmonize; mediate
化,N3,4,3,89,カ; ケ,ば.ける; ば.かす; ふ.ける; け.する,change; take the form of; influence; enchant; delude; -ization
当,N3,6,2,91,トウ,あ.たる; あ.たり; あ.てる; あ.て; まさ.に; まさ.にべし,hit; right; appropriate; himself
約,N3,9,4,94,ヤク,つづ.まる; つづ.める; つづま.やか,promise; approximately; shrink
首,N3,9,2,98,シュ,くび,neck; counter for songs and poems
法,N3,8,4,100,ホウ; ハッ; ホッ; フラン,のり,method; law; rule; principle; model; system
性,N3,8,5,104,セイ; ショウ,さが,sex; gender; nature
要,N3,9,4,106,ヨウ,い.る; かなめ,need; main point; essence; pivot; key to
制,N3,8,5,108,セイ,,system; law; rule
治,N3,8,4,109,ジ; チ,おさ.める; おさ.まる; なお.る; なお.す,reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve
務,N3,11,5,111,ム,つと.める,task; duties
成,N3,6,4,116,セイ; ジョウ,な.る; な.す; -な.す,turn into; become; get; grow; elapse; reach
期,N3,12,3,117,キ; ゴ,,period; time; date; term
取,N3,8,3,122,シュ,と.る; と.り; と.り-; とり; -ど.り,take; fetch; take up
都,N3,11,3,123,ト; ツ,みやこ,metropolis; capital; all; everything
和,N3,8,3,124,ワ; オ; カ,やわ.らぐ; やわ.らげる; なご.む; なご.やか; あ.える,harmony; Japanese style; peace; soften; Japan
機,N3,16,4,127,キ,はた,loom; mechanism; machine; airplane; opportunity; potency; efficacy; occasion
平,N3,5,3,128,ヘイ; ビョウ; ヒョウ,たい.ら; たい.らげる; ひら,even; flat; peace
